R_kpc,Vobs_kms,eV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,source
0.100000,144.900000,3.700000,,,,Sofue2020
0.110000,147.400000,4.200000,,,,Sofue2020
0.121000,150.400000,4.800000,,,,Sofue2020
0.133000,153.800000,6.100000,,,,Sofue2020
0.146000,158.900000,10.300000,,,,Sofue2020
0.161000,167.400000,16.100000,,,,Sofue2020
0.177000,180.100000,22.400000,,,,Sofue2020
0.195000,196.600000,27.100000,,,,Sofue2020
0.214000,213.600000,26.900000,,,,Sofue2020
0.236000,227.800000,22.700000,,,,Sofue2020
0.259000,237.900000,17.000000,,,,Sofue2020
0.285000,244.400000,11.800000,,,,Sofue2020
0.314000,248.200000,7.600000,,,,Sofue2020
0.345000,250.200000,4.700000,,,,Sofue2020
0.380000,251.000000,2.900000,,,,Sofue2020
0.418000,250.700000,2.100000,,,,Sofue2020
0.459000,249.700000,2.300000,,,,Sofue2020
0.505000,248.000000,2.900000,,,,Sofue2020
0.556000,245.900000,3.700000,,,,Sofue2020
0.612000,243.200000,4.600000,,,,Sofue2020
0.673000,239.800000,5.700000,,,,Sofue2020
0.740000,235.800000,6.400000,,,,Sofue2020
0.814000,231.700000,6.500000,,,,Sofue2020
0.895000,227.800000,6.000000,,,,Sofue2020
0.985000,224.500000,5.200000,,,,Sofue2020
1.083000,221.700000,4.500000,,,,Sofue2020
1.192000,219.100000,4.000000,,,,Sofue2020
1.311000,216.800000,3.700000,,,,Sofue2020
1.442000,214.700000,3.400000,,,,Sofue2020
1.586000,212.700000,3.100000,,,,Sofue2020
1.745000,210.900000,2.800000,,,,Sofue2020
1.919000,209.500000,2.300000,,,,Sofue2020
2.111000,208.500000,1.800000,,,,Sofue2020
2.323000,208.200000,1.600000,,,,Sofue2020
2.555000,208.900000,2.200000,,,,Sofue2020
2.810000,210.700000,3.600000,,,,Sofue2020
3.091000,213.400000,4.800000,,,,Sofue2020
3.400000,217.200000,5.900000,,,,Sofue2020
3.740000,222.000000,6.600000,,,,Sofue2020
4.114000,226.600000,5.700000,,,,Sofue2020
4.526000,229.500000,4.400000,,,,Sofue2020
4.979000,231.600000,4.300000,,,,Sofue2020
5.476000,234.100000,5.300000,,,,Sofue2020
6.024000,237.200000,5.700000,,,,Sofue2020
6.626000,239.500000,5.000000,,,,Sofue2020
7.289000,240.100000,4.100000,,,,Sofue2020
8.018000,239.000000,4.400000,,,,Sofue2020
8.820000,236.700000,5.400000,,,,Sofue2020
9.702000,234.500000,6.000000,,,,Sofue2020
10.672000,234.200000,7.100000,,,,Sofue2020
11.739000,237.100000,9.800000,,,,Sofue2020
12.913000,242.800000,12.400000,,,,Sofue2020
14.204000,248.500000,13.300000,,,,Sofue2020
15.625000,249.700000,14.800000,,,,Sofue2020
17.187000,246.200000,17.400000,,,,Sofue2020
18.906000,243.300000,18.300000,,,,Sofue2020
20.797000,243.900000,17.500000,,,,Sofue2020
22.876000,245.600000,15.600000,,,,Sofue2020
25.164000,243.700000,15.200000,,,,Sofue2020
27.680000,237.300000,16.100000,,,,Sofue2020
30.448000,229.600000,15.500000,,,,Sofue2020
33.493000,222.500000,14.100000,,,,Sofue2020
36.842000,215.000000,14.000000,,,,Sofue2020
40.527000,207.100000,13.800000,,,,Sofue2020
44.579000,200.300000,12.700000,,,,Sofue2020
49.037000,194.700000,11.900000,,,,Sofue2020
53.941000,189.800000,11.300000,,,,Sofue2020
59.335000,186.200000,10.400000,,,,Sofue2020
65.268000,184.700000,9.600000,,,,Sofue2020
71.795000,183.900000,9.300000,,,,Sofue2020
78.975000,181.400000,11.000000,,,,Sofue2020
86.872000,175.500000,14.600000,,,,Sofue2020
95.560000,167.700000,16.300000,,,,Sofue2020
